ACC,F1,TPR,FPR,,,ACC,F1,TPR,FPR,ACC_std,F1_std,TPR_std,FPR_std
0.816659861,0.783805577,0.701742075,0.07936382,,,,,,,,,,
0.783326806,0.754217471,0.645150885,0.068964328,,,,,,,,,,
0.808326597,0.776184693,0.754702741,0.149251504,,,,,,,,,,
0.741660486,0.738986564,0.687489258,0.196425064,,,,,,,,,,
0.724993958,0.751386368,0.632903381,0.097558596,,,,,,,,,,
0.799993333,0.814874269,0.76810481,0.156859669,,,,,,,,,,
0.841659653,0.862797867,0.833321759,0.145830295,,,,,,,,,,
0.841659653,0.870238612,0.820502301,0.119044785,,,,,,,,,,
0.833326389,0.864353558,0.853321956,0.199995556,,,,,,,,,,
0.849992917,0.884106378,0.831315285,0.108105186,,,,,,,,,,
0.841659653,0.866621248,0.849303434,0.170209144,,,,,,,,,,
