Fc_real,Fd_real,Fe_real,Fc_pre,Fd_pre,Fe_pre
0.320173067,0.295835587,0.383991347,0.350459708,0.235262304,0.414277988
0.318550568,0.293672255,0.387777177,0.348837209,0.233639805,0.417522985
0.304488913,0.306652244,0.388858843,0.330448891,0.233639805,0.435911303
0.302325581,0.297998918,0.3996755,0.323958897,0.233098972,0.442942131
0.293672255,0.30394808,0.402379665,0.307193077,0.215251487,0.477555435
0.286641428,0.306652244,0.406706328,0.295835587,0.219037317,0.485127096
0.276365603,0.309356409,0.414277988,0.27582477,0.23255814,0.49161709
0.273661439,0.308815576,0.417522985,0.281773932,0.2401298,0.478096268
0.274202271,0.303407247,0.422390481,0.283396431,0.24391563,0.472687939
0.267712277,0.304488913,0.42779881,0.274202271,0.265548945,0.460248783
0.270416441,0.305570579,0.42401298,0.269334776,0.253109789,0.477555435
0.270957274,0.302866414,0.426176312,0.268793943,0.246078962,0.485127096
0.26446728,0.305029746,0.430502975,0.260681449,0.244456463,0.494862088
0.263385614,0.295294754,0.441319632,0.258518118,0.229313142,0.51216874
0.256895619,0.29637642,0.446727961,0.253109789,0.237425635,0.509464575
0.257436452,0.286641428,0.45592212,0.249864792,0.223363981,0.526771228
0.250405625,0.283396431,0.466197945,0.239048134,0.218496485,0.542455381
0.248242293,0.269875608,0.481882098,0.240670633,0.214710654,0.544618713
0.250946458,0.25148729,0.497566252,0.239588967,0.193077339,0.567333694
0.242293131,0.2401298,0.517577069,0.233098972,0.177934018,0.588967009
0.237966468,0.237966468,0.524067063,0.223904813,0.175770687,0.6003245
0.2401298,0.231476474,0.528393726,0.227690644,0.171444024,0.600865333
0.246619794,0.222823148,0.530557058,0.234180638,0.159004867,0.606814494
0.248783126,0.221200649,0.530016225,0.23634397,0.158464035,0.605191996
0.240670633,0.217414819,0.541914548,0.226608978,0.158464035,0.614926988
0.248783126,0.204975663,0.546241211,0.233098972,0.142779881,0.624121147
0.243374797,0.203893997,0.552731206,0.226608978,0.140075717,0.633315306
0.2401298,0.206598161,0.553272039,0.217955652,0.137912385,0.644131963
0.23255814,0.207679827,0.559762034,0.207679827,0.140616549,0.651703624
0.239048134,0.191995673,0.568956193,0.221741482,0.130340725,0.647917793
0.242833964,0.190373175,0.566792861,0.227690644,0.133044889,0.639264467
0.247160627,0.181719849,0.571119524,0.233098972,0.124391563,0.642509465
0.263926447,0.158464035,0.577609519,0.256895619,0.102217415,0.640886966
0.267171444,0.157923202,0.574905354,0.254732288,0.093023256,0.652244456
0.279069767,0.142239048,0.578691184,0.259599784,0.081124932,0.659275284
0.284478096,0.134667388,0.580854516,0.280692266,0.074634938,0.644672796
0.302325581,0.126554895,0.571119524,0.295294754,0.065440779,0.639264467
0.297998918,0.128718226,0.573282856,0.295294754,0.071930773,0.632774473
0.307193077,0.122769064,0.570037858,0.312601406,0.066522445,0.620876149
0.314764738,0.126014062,0.559221201,0.325581395,0.072471606,0.601946998
0.321795565,0.129799892,0.548404543,0.32828556,0.068685776,0.603028664
0.328826393,0.130881558,0.54029205,0.32828556,0.071930773,0.599783667
0.323958897,0.142779881,0.533261222,0.318550568,0.079502434,0.601946998
0.318009735,0.146565711,0.535424554,0.320713899,0.094645754,0.584640346
0.314223905,0.14818821,0.537587885,0.325040562,0.098972418,0.57598702
0.314223905,0.147106544,0.538669551,0.321795565,0.102758248,0.575446187
0.321254732,0.141157382,0.537587885,0.327203894,0.102217415,0.570578691
0.323958897,0.138994051,0.537047052,0.326122228,0.11249324,0.561384532
0.320713899,0.145484045,0.533802055,0.326122228,0.123309897,0.550567875
0.32828556,0.140616549,0.531097891,0.337479719,0.121687399,0.540832883
0.32828556,0.143861547,0.527852893,0.331530557,0.132504056,0.535965387
0.323958897,0.148729043,0.527312061,0.325581395,0.135208221,0.539210384
0.336398053,0.140616549,0.522985398,0.341265549,0.131963223,0.526771228
0.325581395,0.14818821,0.526230395,0.330989724,0.136289886,0.532720389
0.332612223,0.144943213,0.522444565,0.34342888,0.136830719,0.5197404
0.331530557,0.148729043,0.5197404,0.343969713,0.139534884,0.516495403
0.325581395,0.159004867,0.515413737,0.334234721,0.15197404,0.513791239
0.317468902,0.171984857,0.510546241,0.322336398,0.163872363,0.513791239
0.316387236,0.184424013,0.499188751,0.319632234,0.18009735,0.500270416
0.315846403,0.186046512,0.498107085,0.318009735,0.177934018,0.504056247
