x,y,z
-22.304462,-5.7427597,-5.2281303
-21.115898,-3.9002776,-0.43818897
-21.82138,-5.0463977,-3.4412053
-20.574768,-3.0709782,1.2886816
-11.966616,7.2690163,-3.2486188
-10.84359,2.9281032,-7.6688724
-13.810741,7.832671,3.3356063
-17.459854,2.341407,6.0886216
-12.28126,7.935143,-1.8984487
-15.676123,5.3999887,5.641345
-17.981882,1.30498,5.7030544
-13.764639,7.8703685,3.2640138
-13.632912,7.9705667,3.0653677
-11.487577,5.889233,-5.312196
-11.246464,4.884788,-6.3361726
-12.099939,7.5784464,-2.672559
-12.22733,7.8342695,-2.1288505
-10.664598,1.8470159,-8.156705
-8.403489,-8.650278,-4.59763
-11.268067,5.060507,-6.167732
-15.771046,5.775338,5.7014155
-20.695438,-3.2540302,0.9361302
-15.794488,5.6919184,6.1144066
-4.935318,-4.0732875,8.62226
-4.498113,-2.5373168,9.21563
6.019226,-9.167367,-0.6292366
5.9907875,-9.16518,-0.75272816
7.429775,-7.7701926,5.2919354
10.816467,3.438953,8.110719
12.652213,7.552803,1.8991091
14.204914,6.365722,-4.5223145
22.294544,-3.4598382,5.3817334
12.292554,7.226832,3.3439028
1.0737444,7.5050993,-7.073335
-21.336185,-4.247772,-1.2614595
-21.68593,-4.822174,-2.8144596
-22.149399,-5.639117,-4.9612527
-10.801786,2.717654,-7.776009
-13.627955,8.158942,2.5429041
-12.313055,7.951064,-1.7687079
-13.952419,7.7095404,3.5503674
-19.38254,-1.5488096,3.813109
-15.397766,5.703607,5.76831
-12.261776,7.8985157,-1.9821415
-10.997948,4.5203257,-6.6341724
-15.806866,5.6283174,5.6661253
-19.463451,-1.1585333,4.1493893
-13.677594,7.939056,3.1114905
-13.742382,7.888528,3.2260778
-10.561107,1.1758574,-8.4302635
-11.631592,6.3657393,-4.696211
-11.004565,4.010531,-7.0259633
-6.822459,-9.29715,2.835012
-7.29362,-9.749038,0.62508595
-5.3421097,-5.450221,7.7990985
-17.598066,2.0762947,6.154353
-21.11481,-3.8985667,-0.4345593
-17.77733,1.717216,5.9156475
-12.27964,8.016497,-1.9071441
-0.03898999,10.364573,-0.66221887
-2.2520032,5.423804,8.158457
3.5886981,-4.4314065,-8.444505
4.8087645,-7.5484815,-5.403892
9.031737,-2.1402733,8.928714
21.238234,-4.5979137,2.1401675
17.811876,-2.9207938,-6.210409
21.283434,-4.563239,2.276132
21.960299,-3.8762426,4.354979
2.5994124,0.37633067,-9.9527855
-9.094095,-6.396195,-7.116701
-22.169575,-5.645712,-5.366286
-19.75617,-1.8608907,3.1629164
-12.8581295,8.279657,0.29567727
-10.272245,-0.55383366,-8.794271
-15.705221,5.4377756,5.9043183
-18.00665,1.255365,5.6752524
-19.33074,-1.5077112,3.6693034
-12.778409,8.257325,0.010336868
-10.969228,4.239282,-6.872289
-10.966408,4.3250494,-6.8036604
-11.684713,6.5243587,-4.4683375
-15.40814,5.6758795,5.780906
-19.484241,-1.5013961,3.9194686
-16.15267,4.755418,6.0088615
-11.321298,5.276185,-5.9606695
-11.629579,6.3599606,-4.7030716
-9.195083,-5.9854784,-7.411395
-7.4521403,-9.795748,-0.14210083
2.62418,0.26291454,-9.940028
-3.3746655,1.5116751,9.549916
-3.3420599,1.6276187,9.527531
-13.343262,8.187413,2.1329188
-18.648085,-0.020089366,4.8738036
-8.079664,-9.31063,-3.1523917
-9.024709,-6.6700706,-6.905211
-2.9426017,3.043845,9.228605
-4.2387414,-1.6080636,9.417701
3.0842867,-1.7833996,-9.584405
14.86984,4.632877,-6.353975
18.03516,-3.3037636,-5.871756
23.04326,-1.9185497,7.504503
22.859453,-2.512036,7.045503
18.928177,-4.4751883,-4.1047626
8.483558,-4.331348,8.245677
-9.140558,-6.209246,-7.2553377
-20.546316,-3.0281296,1.367914
-21.435572,-4.4109287,-1.6856472
-10.389571,0.09644539,-8.729271
