x,y,z
-14.823361,-7.119931,1.0814419
0.82754284,1.1058708,9.896139
1.0892951,2.5459197,9.312229
-12.023552,1.2370493,7.3825254
-17.392204,-5.8818965,-3.8051562
-2.053119,-9.924638,-0.7994156
-12.739274,-2.0376232,6.577204
-1.1212105,-9.028642,4.497365
-11.440776,3.983336,6.9066277
3.9658778,8.947438,-1.3305122
22.44039,0.45996186,-3.724956
24.609573,-6.391396,-3.424625
24.423244,-4.9493704,-4.1595545
6.603225,3.2971253,-7.6205783
-14.329349,-6.6103845,2.4129236
-12.93255,-2.8302183,6.21014
-3.3902721,-6.9564223,-7.2236733
-12.439071,-0.7188765,7.024079
-9.419893,9.582439,-0.06534613
-8.631827,9.341888,-2.9109452
-8.936584,9.539036,-1.7784613
17.74838,6.875335,1.3365486
20.159004,4.7666693,-2.0385063
7.714094,0.030066693,-8.445695
6.3606563,3.9510481,-7.2794375
2.7858164,8.331879,3.1652193
11.721274,-7.66966,1.2736237
2.3526032,7.3290057,4.910388
-9.66011,9.35321,1.2482822
0.78535557,0.47687867,10.108187
13.210666,-2.461907,6.6415386
23.811668,-3.1925917,-4.0682936
4.697992,7.7500105,-3.5967007
-10.67447,7.755114,4.381034
-14.743411,-7.0674896,1.2900503
-8.367074,9.050832,-3.7789192
2.1475048,6.7207685,5.7216215
1.4502008,4.299237,8.238905
-11.1067295,5.4138317,6.294846
8.0478735,-1.021049,-8.408533
-0.37944546,-6.1586385,8.345018
19.967653,5.033717,-1.822337
-11.976043,1.4559559,7.3180084
-10.567369,7.352321,4.9414806
-17.078268,-6.255312,-3.3895702
14.028069,1.0646789,7.135112
22.68007,-0.14603138,-3.8077931
21.451313,2.4051223,-3.3139062
8.196521,-1.4859214,-8.370733
-12.55408,-1.241294,6.8759375
-11.594964,3.2686913,7.0967627
-8.2926855,8.976571,-3.9649394
-9.67074,9.34914,1.2548763
-7.6703873,7.750865,-5.940649
0.34240288,-1.8026811,10.169721
8.812286,-4.8452744,-6.921345
0.26738477,-2.2996488,10.630641
20.972464,3.4785752,-2.8424027
-12.89173,-2.6683443,6.291865
-19.55287,-2.104865,-4.9288874
-11.396728,4.187196,6.846746
11.585467,-7.7883496,0.6789574
12.94686,-3.7034738,6.0088534
-11.189409,5.0817065,6.475256
-12.726818,-1.9933579,6.603846
9.950101,-6.246706,-5.636373
15.488383,5.1820216,5.419784
21.712383,2.1069536,-3.394217
13.254876,-2.257514,6.7195597
8.574756,-2.6524718,-8.093689
6.9673142,2.2818918,-8.048909
5.995562,4.881976,-6.6618996
0.7380595,0.43811932,10.0981455
8.751768,-3.190524,-7.8774886
1.3559132,3.8575923,8.533472
24.402319,-4.85962,-4.1484056
3.1043038,8.827769,1.8845268
9.774738,-5.6297126,-6.3047886
-22.122477,4.4067645,-0.51549846
-19.529924,-2.1524625,-4.932367
-17.17109,-6.14885,-3.5149994
12.929521,-3.7837129,5.9622154
17.977839,6.817425,0.9456963
14.171789,1.6079361,7.068359
1.0558432,2.3669353,9.393825
0.47259864,-0.99147314,10.17089
-0.1923209,-5.09435,9.115886
8.31305,-1.8463875,-8.318695
3.2847276,9.040248,1.1704044
17.104088,6.75141,2.4811769
1.3579645,4.209848,8.834219
8.862239,-6.571027,-5.1770844
-10.030532,8.058919,4.5049734
-20.173145,-0.7267119,-4.610713
-22.591183,5.8249803,1.3064967
-20.646212,0.40905055,-4.095009
7.0009065,2.1850011,-8.080643
9.345055,-4.699167,-7.046919
3.4946778,9.178369,0.36029017
-13.737235,-5.499076,4.116209
-7.500523,7.351981,-6.4671783
13.782091,0.08992053,7.1894755
20.411806,4.3926797,-2.3129766
21.687191,2.174467,-3.3701446
21.990192,1.499645,-3.5347083
17.40063,6.8528643,1.945035
15.8506,5.7547536,4.788086
14.389502,2.3844767,6.920889
10.480564,-7.4249477,-3.7280684
23.549498,-2.460519,-4.0248466
17.722942,6.870688,1.3834863
23.453691,-2.1973252,-4.008347
-13.230146,-3.8726897,5.537809
-16.442825,-6.8996506,-2.4315896
